Term,Values
伺う,うかがう
体力,たいりょく
何千,なんぜん
何月,なんがつ
何遍,なんべん
余剰,よじょう
作文,さくぶん
作業,さぎょう
併合,へいごう
例外,れいがい
例文,れいぶん
侮る,あなどる
侮蔑,ぶべつ
侵入,しんにゅう
侵害,しんがい
侵食,しんしょく
便秘,べんぴ
促す,うながす
俊才,しゅんさい
俗語,ぞくご
信号,しんごう
信奉,しんぽう
信心,しんじん
借款,しゃっかん
借用,しゃくよう
借金,しゃっきん
偏狭,へんきょう
偏食,へんしょく
停電,ていでん
偽造,ぎぞう
傍観,ぼうかん
傲慢,ごうまん
傷心,しょうしん
傷者,しょうしゃ
償う,つぐなう
優勝,ゆうしょう
優秀,ゆうしゅう
優遇,ゆうぐう
元帥,げんすい
元旦,がんたん
兆候,ちょうこう
先日,せんじつ
先月,せんげつ
先程,さきほど
先輩,せんぱい
先週,せんしゅう
先頃,さきごろ
免税,めんぜい
免除,めんじょ
児童,じどう
入所,にゅうしょ
入社,にゅうしゃ
入籍,にゅうせき
入門,にゅうもん
入院,にゅういん
入隊,にゅうたい
全員,ぜんいん
全国,ぜんこく
全壊,ぜんかい
全損,ぜんそん
全景,ぜんけい
全身,ぜんしん
全部,ぜんぶ
公共,こうきょう
公害,こうがい
六月,ろくがつ
共有,きょうゆう
兵糧,ひょうろう
内側,うちがわ
内堀,うちぼり
内臓,ないぞう
円盤,えんばん
冒険,ぼうけん
冷房,れいぼう
冷遇,れいぐう
凄絶,せいぜつ
凝固,ぎょうこ
凝視,ぎょうし
凡庸,ぼんよう
処分,しょぶん
処遇,しょぐう
凶悪,きょうあく
凸版,とっぱん
出口,でぐち
出席,しゅっせき
出所,しゅっしょ
出血,しゅっけつ
分析,ぶんせき
分裂,ぶんれつ
分解,ぶんかい
分類,ぶんるい
切腹,せっぷく
切迫,せっぱく
刑罰,けいばつ
初級,しょきゅう
判断,はんだん
別冊,べっさつ
別荘,べっそう
利潤,りじゅん
到着,とうちゃく
削減,さくげん
削除,さくじょ
前回,ぜんかい
前景,ぜんけい
前面,ぜんめん
剛健,ごうけん
剣道,けんどう
副題,ふくだい
割引,わりびき
創造,そうぞう
劇的,げきてき
助手,じょしゅ
努力,どりょく
労働,ろうどう
効力,こうりょく
動揺,どうよう
勘弁,かんべん
勝敗,しょうはい
勝者,しょうしゃ
勝負,しょうぶ
募集,ぼしゅう
勢力,せいりょく
勲章,くんしょう
包丁,ほうちょう
午前,ごぜん
半分,はんぶん
半袖,はんそで
半額,はんがく
卓球,たっきゅう
協会,きょうかい
南極,なんきょく
南瓜,かぼちゃ
南米,なんべい
南蛮,なんばん
即日,そくじつ
即興,そっきょう
卸売,おろしうり
原作,げんさく
原因,げんいん
原型,げんけい
原潜,げんせん
原稿,げんこう
厳禁,げんきん
友人,ゆうじん
友達,ともだち
反響,はんきょう
収穫,しゅうかく
収納,しゅうのう
取材,しゅざい
受胎,じゅたい
受託,じゅたく
受験,じゅけん
叙勲,じょくん
口癖,くちぐせ
口笛,くちぶえ
口紅,くちべに
召喚,しょうかん
号室,ごうしつ
合繊,ごうせん
合計,ごうけい
同感,どうかん
同時,どうじ
同盟,どうめい
同胞,どうほう
名人,めいじん
名字,みょうじ
名曲,めいきょく
名物,めいぶつ
吾輩,わがはい
周年,しゅうねん
哲学,てつがく
商人,しょうにん
商品,しょうひん
問題,もんだい
善悪,ぜんあく
喉飴,のどあめ
嘱託,しょくたく
噴出,ふんしゅつ
四百,よんひゃく
困窮,こんきゅう
国境,こっきょう
国柄,くにがら
圏外,けんがい
土俵,どひょう
土塀,どべい
圧力,あつりょく
圧迫,あっぱく
地上,ちじょう
地獄,じごく
地蔵,じぞう
坊主,ぼうず
坑道,こうどう
垂直,すいちょく
埋没,まいぼつ
執筆,しっぴつ
培養,ばいよう
基準,きじゅん
堤防,ていぼう
報道,ほうどう
報酬,ほうしゅう
塩味,しおあじ
塩水,しおみず
境界,きょうかい
壮大,そうだい
変人,へんじん
外交,がいこう
外側,そとがわ
外国,がいこく
外堀,そとぼり
外来,がいらい
外観,がいかん
外面,がいめん
大事,だいじ
大体,だいたい
大勢,おおぜい
大声,おおごえ
大将,たいしょう
大幅,おおはば
大損,おおぞん
大根,だいこん
大概,たいがい
大略,たいりゃく
大空,おおぞら
大胆,だいたん
大衆,たいしゅう
大量,たいりょう
天国,てんごく
失敗,しっぱい
失望,しつぼう
奏楽,そうがく
奔放,ほんぽう
女優,じょゆう
女性,じょせい
女権,じょけん
女王,じょおう
妙薬,みょうやく
妥協,だきょう
娘婿,むすめむこ
媒介,ばいかい
媒体,ばいたい
存在,そんざい
学問,がくもん
学年,がくねん
学校,がっこう
学歴,がくれき
学生,がくせい
学者,がくしゃ
学院,がくいん
安全,あんぜん
完了,かんりょう
完全,かんぜん
官僚,かんりょう
官庁,かんちょう
定量,ていりょう
定額,ていがく
実感,じっかん
実践,じっせん
実際,じっさい
実験,じっけん
客室,きゃくしつ
宣伝,せんでん
宣言,せんげん
宮廷,きゅうてい
宰相,さいしょう
宿泊,しゅくはく
密猟,みつりょう
寛大,かんだい
審判,しんぱん
寮生,りょうせい
寸前,すんぜん
寸法,すんぽう
対外,たいがい
対称,たいしょう
対談,たいだん
対象,たいしょう
将来,しょうらい
将棋,しょうぎ
尋問,じんもん
導く,みちびく
小包,こづつみ
小説,しょうせつ
少年,しょうねん
山岳,さんがく
山脈,さんみゃく
山賊,さんぞく
山頂,さんちょう
峡谷,きょうこく
川底,かわぞこ
川柳,せんりゅう
巡査,じゅんさ
工学,こうがく
左手,ひだりて
巧妙,こうみょう
巨人,きょじん
巨匠,きょしょう
巨大,きょだい
帆柱,ほばしら
帳簿,ちょうぼ
干渉,かんしょう
平凡,へいぼん
平日,へいじつ
年俸,ねんぽう
年輩,ねんぱい
年頃,としごろ
年額,ねんがく
幻想,げんそう
幻滅,げんめつ
幻覚,げんかく
庁舎,ちょうしゃ
庄園,しょうえん
座禅,ざぜん
廃絶,はいぜつ
延長,えんちょう
弁当,べんとう
弁慶,べんけい
弊害,へいがい
弔辞,ちょうじ
強制,きょうせい
強烈,きょうれつ
強盗,ごうとう
当然,とうぜん
彩り,いろどり
彩る,いろどる
彫刻,ちょうこく
影響,えいきょう
彼女,かのじょ
待遇,たいぐう
律動,りつどう
徐行,じょこう
従う,したがう
復旧,ふっきゅう
復習,ふくしゅう
微妙,びみょう
徳川,とくがわ
心臓,しんぞう
心配,しんぱい
心願,しんがん
必勝,ひっしょう
忍者,にんじゃ
応酬,おうしゅう
忠告,ちゅうこく
忠誠,ちゅうせい
快い,こころよい
念願,ねんがん
急患,きゅうかん
急行,きゅうこう
急騰,きゅうとう
怪物,かいぶつ
怪談,かいだん
恋人,こいびと
恐喝,きょうかつ
恐慌,きょうこう
恒久,こうきゅう
恥辱,ちじょく
恩人,おんじん
恩賞,おんしょう
悠久,ゆうきゅう
悠長,ゆうちょう
患う,わずらう
患者,かんじゃ
悪女,あくじょ
悪戯,いたずら
悪霊,あくりょう
愛人,あいじん
愛憎,あいぞう
感慨,かんがい
感触,かんしょく
慈善,じぜん
慎重,しんちょう
慶弔,けいちょう
慶祝,けいしゅく
憤慨,ふんがい
憧れ,あこがれ
憲法,けんぽう
懇談,こんだん
成程,なるほど
戦没,せんぼつ
戯曲,ぎきょく
所属,しょぞく
手袋,てぶくろ
手錠,てじょう
批准,ひじゅん
承認,しょうにん
抹消,まっしょう
抽選,ちゅうせん
拡大,かくだい
拡張,かくちょう
拳骨,げんこつ
拷問,ごうもん
指先,ゆびさき
挑戦,ちょうせん
挑発,ちょうはつ
振動,しんどう
挿入,そうにゅう
掌握,しょうあく
排出,はいしゅつ
排除,はいじょ
掛軸,かけじく
探究,たんきゅう
推奨,すいしょう
提供,ていきょう
提出,ていしゅつ
握力,あくりょく
援助,えんじょ
損害,そんがい
搬出,はんしゅつ
搾乳,さくにゅう
撃墜,げきつい
撤兵,てっぺい
撲滅,ぼくめつ
改善,かいぜん
改造,かいぞう
攻撃,こうげき
放題,ほうだい
敏感,びんかん
教室,きょうしつ
教育,きょういく
教訓,きょうくん
敢然,かんぜん
数学,すうがく
数珠,じゅず
整然,せいぜん
料金,りょうきん
斬新,ざんしん
斬殺,ざんさつ
新品,しんぴん
新聞,しんぶん
方言,ほうげん
旋風,せんぷう
日没,にちぼつ
旧姓,きゅうせい
旧暦,きゅうれき
昇進,しょうしん
明瞭,めいりょう
映像,えいぞう
時々,ときどき
時代,じだい
時限,じげん
景況,けいきょう
暗礁,あんしょう
暫く,しばらく
暫定,ざんてい
暴走,ぼうそう
暴騰,ぼうとう
曲線,きょくせん
書評,しょひょう
最終,さいしゅう
月光,げっこう
月刊,げっかん
月末,げつまつ
有毒,ゆうどく
有罪,ゆうざい
有職,ゆうしょく
服飾,ふくしょく
朝刊,ちょうかん
朝霧,あさぎり
木材,もくざい
未熟,みじゅく
本州,ほんしゅう
本棚,ほんだな
本流,ほんりゅう
材木,ざいもく
村人,むらびと
束縛,そくばく
来月,らいげつ
来週,らいしゅう
東京,とうきょう
東芝,とうしば
果汁,かじゅう
果物,くだもの
枝豆,えだまめ
枢軸,すうじく
柴犬,しばいぬ
株式,かぶしき
根本,こんぽん
栽培,さいばい
案外,あんがい
桑原,くわばら
桜肉,さくらにく
桜色,さくらいろ
桟橋,さんばし
梅干,うめぼし
極楽,ごくらく
極端,きょくたん
楽勝,らくしょう
概念,がいねん
概算,がいさん
概要,がいよう
構造,こうぞう
様々,さまざま
横綱,よこづな
欄外,らんがい
欠乏,けつぼう
欠如,けつじょ
欧米,おうべい
欲求,よっきゅう
欺く,あざむく
歓迎,かんげい
武道,ぶどう
歳入,さいにゅう
歳月,さいげつ
殊勝,しゅしょう
残念,ざんねん
残酷,ざんこく
段階,だんかい
殺人,さつじん
毎晩,まいばん
民俗,みんぞく
民族,みんぞく
水中,すいちゅう
水害,すいがい
水晶,すいしょう
水着,みずぎ
水色,みずいろ
水道,すいどう
水銀,すいぎん
氷河,ひょうが
永久,えいきゅう
求婚,きゅうこん
沈没,ちんぼつ
没後,ぼつご
没落,ぼつらく
没頭,ぼっとう
油絵,あぶらえ
沼沢,しょうたく
沿岸,えんがん
泥水,でいすい
泥沼,どろぬま
泥酔,でいすい
注射,ちゅうしゃ
注文,ちゅうもん
洋食,ようしょく
洗剤,せんざい
洞穴,どうけつ
洪水,こうずい
活動,かつどう
流行,りゅうこう
浄化,じょうか
海亀,うみがめ
海外,かいがい
海岸,かいがん
海峡,かいきょう
海賊,かいぞく
海軍,かいぐん
海魚,かいぎょ
液晶,えきしょう
涼風,りょうふう
清涼,せいりょう
渓流,けいりゅう
温床,おんしょう
温暖,おんだん
満月,まんげつ
満潮,まんちょう
満足,まんぞく
源氏,げんじ
溶岩,ようがん
滅亡,めつぼう
滝川,たきがわ
漁船,ぎょせん
漂う,ただよう
漏出,ろうしゅつ
演芸,えんげい
漫才,まんざい
潜伏,せんぷく
潮時,しおどき
激励,げきれい
灰皿,はいざら
災い,わざわい
災害,さいがい
炎症,えんしょう
焦点,しょうてん
焦燥,しょうそう
照明,しょうめい
煩忙,はんぼう
煩雑,はんざつ
燃料,ねんりょう
爆発,ばくはつ
牧草,ぼくそう
特別,とくべつ
特徴,とくちょう
特急,とっきゅう
犯罪,はんざい
狩猟,しゅりょう
独創,どくそう
独占,どくせん
独特,どくとく
独立,どくりつ
独裁,どくさい
独身,どくしん
猟犬,りょうけん
猫舌,ねこじた
獄内,ごくない
獣医,じゅうい
玄米,げんまい
玄関,げんかん
王女,おうじょ
珠算,しゅざん
班長,はんちょう
現場,げんば
環境,かんきょう
環礁,かんしょう
生存,せいぞん
生殖,せいしょく
生物,せいぶつ
男優,だんゆう
男性,だんせい
町民,ちょうみん
画像,がぞう
畜生,ちくしょう
略図,りゃくず
略語,りゃくご
異常,いじょう
異状,いじょう
疾病,しっぺい
疾風,しっぷう
病気,びょうき
発売,はつばい
発泡,はっぽう
発祥,はっしょう
白人,はくじん
白菊,しらぎく
白鳥,はくちょう
百万,ひゃくまん
皇后,こうごう
皇族,こうぞく
盆栽,ぼんさい
盗聴,とうちょう
盗賊,とうぞく
目標,もくひょう
盲人,もうじん
盲腸,もうちょう
直径,ちょっけい
直接,ちょくせつ
直航,ちょっこう
直行,ちょっこう
直轄,ちょっかつ
相談,そうだん
看板,かんばん
真実,しんじつ
真珠,しんじゅ
真髄,しんずい
眼孔,がんこう
瞬き,まばたき
瞬時,しゅんじ
瞬間,しゅんかん
瞳孔,どうこう
矛盾,むじゅん
矢印,やじるし
短い,みじかい
矯正,きょうせい
石垣,いしがき
研修,けんしゅう
研究,けんきゅう
硫酸,りゅうさん
硬直,こうちょく
碁盤,ごばん
磁石,じしゃく
社長,しゃちょう
祝儀,しゅうぎ
神風,かみかぜ
神髄,しんずい
祭日,さいじつ
禅僧,ぜんそう
福寿,ふくじゅ
秀逸,しゅういつ
秩序,ちつじょ
移住,いじゅう
移譲,いじょう
税金,ぜいきん
稿料,こうりょう
究明,きゅうめい
空洞,くうどう
空襲,くうしゅう
突如,とつじょ
突然,とつぜん
窮屈,きゅうくつ
童謡,どうよう
競争,きょうそう
競艇,きょうてい
第一,だいいち
等号,とうごう
米兵,べいへい
米国,べいこく
米穀,べいこく
粗塩,あらじお
粘着,ねんちゃく
紋章,もんしょう
納入,のうにゅう
紛糾,ふんきゅう
紡績,ぼうせき
細胞,さいぼう
紹介,しょうかい
終点,しゅうてん
経済,けいざい
結局,けっきょく
統合,とうごう
絶対,ぜったい
絶景,ぜっけい
絶滅,ぜつめつ
継承,けいしょう
緊張,きんちょう
緊急,きんきゅう
総合,そうごう
編集,へんしゅう
練習,れんしゅう
縁談,えんだん
縦書,たてがき
繁殖,はんしょく
罰金,ばっきん
美人,びじん
羨望,せんぼう
翌日,よくじつ
翌月,よくげつ
習慣,しゅうかん
老人,ろうじん
老朽,ろうきゅう
老眼,ろうがん
考え,かんがえ
耕す,たがやす
聖日,せいじつ
聴者,ちょうしゃ
職員,しょくいん
職場,しょくば
肌色,はだいろ
肝臓,かんぞう
肯く,うなずく
肺臓,はいぞう
胎盤,たいばん
胴体,どうたい
能力,のうりょく
脂身,あぶらみ
脅迫,きょうはく
脈拍,みゃくはく
脊髄,せきずい
脚本,きゃくほん
脱字,だつじ
脱線,だっせん
自分,じぶん
自動,じどう
自在,じざい
自爆,じばく
自粛,じしゅく
至上,しじょう
船舶,せんぱく
良好,りょうこう
良質,りょうしつ
芝草,しばくさ
芸人,げいにん
芸者,げいしゃ
苗字,みょうじ
苗床,なえどこ
英文,えいぶん
荘厳,そうごん
菜食,さいしょく
蒸気,じょうき
蔑む,さげすむ
薬剤,やくざい
薬学,やくがく
薬物,やくぶつ
虹色,にじいろ
蛮行,ばんこう
融合,ゆうごう
血族,けつぞく
血脈,けつみゃく
行動,こうどう
街灯,がいとう
街道,かいどう
衝突,しょうとつ
裁判,さいばん
裏口,うらぐち
補う,おぎなう
補充,ほじゅう
製造,せいぞう
複雑,ふくざつ
褒賞,ほうしょう
西側,にしがわ
要求,ようきゅう
見物,けんぶつ
規準,きじゅん
親分,おやぶん
親指,おやゆび
親睦,しんぼく
観客,かんきゃく
解剖,かいぼう
解釈,かいしゃく
触角,しょっかく
言語,げんご
記述,きじゅつ
許諾,きょだく
診断,しんだん
証人,しょうにん
証明,しょうめい
証跡,しょうせき
評論,ひょうろん
該当,がいとう
詳細,しょうさい
誠実,せいじつ
読者,どくしゃ
請求,せいきゅう
請願,せいがん
論文,ろんぶん
警鐘,けいしょう
議長,ぎちょう
豚肉,ぶたにく
象牙,ぞうげ
豪傑,ごうけつ
販売,はんばい
貿易,ぼうえき
賓客,ひんきゃく
賞金,しょうきん
賢人,けんじん
購入,こうにゅう
購読,こうどく
購買,こうばい
贅沢,ぜいたく
贈呈,ぞうてい
贈賄,ぞうわい
足首,あしくび
跳躍,ちょうやく
躍動,やくどう
躍如,やくじょ
車両,しゃりょう
車掌,しゃしょう
軍艦,ぐんかん
軍隊,ぐんたい
転覆,てんぷく
軽蔑,けいべつ
輝き,かがやき
輝く,かがやく
辛勝,しんしょう
辛抱,しんぼう
辞職,じしょく
迅速,じんそく
近々,ちかぢか
近所,きんじょ
近日,きんじつ
近頃,ちかごろ
迫害,はくがい
追随,ついずい
退く,しりぞく
逃亡,とうぼう
造園,ぞうえん
連中,れんちゅう
連峰,れんぽう
連日,れんじつ
連続,れんぞく
連邦,れんぽう
週末,しゅうまつ
進撃,しんげき
逸品,いっぴん
逸脱,いつだつ
運動,うんどう
運搬,うんぱん
過剰,かじょう
道具,どうぐ
道徳,どうとく
達人,たつじん
遭遇,そうぐう
遮る,さえぎる
遮断,しゃだん
還元,かんげん
邦人,ほうじん
郊外,こうがい
部分,ぶぶん
郵便,ゆうびん
酒造,しゅぞう
酷評,こくひょう
醜悪,しゅうあく
醜態,しゅうたい
釈明,しゃくめい
野獣,やじゅう
金属,きんぞく
金髪,きんぱつ
金魚,きんぎょ
針金,はりがね
鈍感,どんかん
鉄人,てつじん
鉛毒,えんどく
鉛筆,えんぴつ
鉱山,こうざん
鉱物,こうぶつ
銀座,ぎんざ
銀色,ぎんいろ
銀行,ぎんこう
銘柄,めいがら
鋭い,するどい
鋭敏,えいびん
鋼材,こうざい
長唄,ながうた
長崎,ながさき
間伐,かんばつ
閣僚,かくりょう
防水,ぼうすい
防犯,ぼうはん
限定,げんてい
限度,げんど
限界,げんかい
陣営,じんえい
陥没,かんぼつ
陪審,ばいしん
陰謀,いんぼう
陶芸,とうげい
陸軍,りくぐん
隅々,すみずみ
隆盛,りゅうせい
階段,かいだん
随所,ずいしょ
随時,ずいじ
随筆,ずいひつ
隔月,かくげつ
隔週,かくしゅう
障子,しょうじ
隣人,りんじん
隣国,りんごく
雅楽,ががく
集金,しゅうきん
雑巾,ぞうきん
雑費,ざっぴ
雑音,ざつおん
電卓,でんたく
電波,でんぱ
電灯,でんとう
電車,でんしゃ
電鉄,でんてつ
需要,じゅよう
青空,あおぞら
青銅,せいどう
静粛,せいしゅく
非常,ひじょう
面倒,めんどう
音楽,おんがく
頂く,いただく
順位,じゅんい
領土,りょうど
領域,りょういき
頻発,ひんぱつ
頻繁,ひんぱん
顔面,がんめん
顕在,けんざい
顕彰,けんしょう
風潮,ふうちょう
食事,しょくじ
食卓,しょくたく
食欲,しょくよく
飽食,ほうしょく
駅弁,えきべん
駅長,えきちょう
駐屯,ちゅうとん
駐日,ちゅうにち
驚く,おどろく
驚嘆,きょうたん
骨髄,こつずい
高尚,こうしょう
高級,こうきゅう
髪型,かみがた
魔術,まじゅつ
魚雷,ぎょらい
鮮魚,せんぎょ
鯨肉,げいにく
鳥肌,とりはだ
黒人,こくじん
黒板,こくばん
万歳,ばんざい
丈夫,じょうぶ
三百,さんびゃく
上品,じょうひん
上巻,じょうかん
上手,じょうず
上演,じょうえん
下旬,げじゅん
丘陵,きゅうりょう
両側,りょうがわ
両日,りょうじつ
両替,りょうがえ
両腕,りょううで
中国,ちゅうごく
中毒,ちゅうどく
中級,ちゅうきゅう
中軸,ちゅうじく
九州,きゅうしゅう
予め,あらかじめ
事情,じじょう
五十,ごじゅう
享受,きょうじゅ
人形,にんぎょう
人情,にんじょう
人脈,じんみゃく
人造,じんぞう
仏像,ぶつぞう
仏壇,ぶつだん
仏教,ぶっきょう
仰天,ぎょうてん
休学,きゅうがく
休日,きゅうじつ
住人,じゅうにん
住宅,じゅうたく
住所,じゅうしょ
住民,じゅうみん
体重,たいじゅう
供給,きょうきゅう
侮辱,ぶじょく
便所,べんじょ
借財,しゃくざい
偶然,ぐうぜん
傍受,ぼうじゅ
元凶,げんきょう
兄弟,きょうだい
免状,めんじょう
入力,にゅうりょく
入団,にゅうだん
入学,にゅうがく
入獄,にゅうごく
全力,ぜんりょく
全然,ぜんぜん
全米,ぜんべい
全額,ぜんがく
共同,きょうどう
兼業,けんぎょう
凡人,ぼんじん
凸凹,でこぼこ
出没,しゅつぼつ
出版,しゅっぱん
出獄,しゅつごく
出発,しゅっぱつ
分泌,ぶんぴつ
別々,べつべつ
別人,べつじん
前兆,ぜんちょう
副業,ふくぎょう
劇団,げきだん
助力,じょりょく
助言,じょげん
勉強,べんきょう
動物,どうぶつ
勘定,かんじょう
十万,じゅうまん
十六,じゅうろく
卒業,そつぎょう
協力,きょうりょく
南口,みなみぐち
単純,たんじゅん
原爆,げんばく
厳粛,げんしゅく
及第,きゅうだい
収入,しゅうにゅう
受諾,じゅだく
右側,みぎがわ
右腕,みぎうで
同僚,どうりょう
同日,どうじつ
吸収,きゅうしゅう
商売,しょうばい
営業,えいぎょう
囚人,しゅうじん
四十,よんじゅう
土壌,どじょう
在外,ざいがい
在留,ざいりゅう
執着,しゅうちゃく
塾生,じゅくせい
境遇,きょうぐう
増税,ぞうぜい
壁紙,かべがみ
外人,がいじん
大仏,だいぶつ
大学,だいがく
大腸,だいちょう
大臣,だいじん
天井,てんじょう
奉行,ぶぎょう
妨害,ぼうがい
媒酌,ばいしゃく
宗教,しゅうきょう
実力,じつりょく
実在,じつざい
宿題,しゅくだい
寿命,じゅみょう
将軍,しょうぐん
少女,しょうじょ
就職,しゅうしょく
尽力,じんりょく
屈辱,くつじょく
屋上,おくじょう
岩礁,がんしょう
巡回,じゅんかい
巡礼,じゅんれい
工場,こうじょう
工業,こうぎょう
巻尺,まきじゃく
席順,せきじゅん
常勤,じょうきん
常識,じょうしき
平壌,へいじょう
年中,ねんじゅう
序文,じょぶん
弁償,べんしょう
弓道,きゅうどう
弦楽,げんがく
弱点,じゃくてん
強力,きょうりょく
強調,きょうちょう
弾丸,だんがん
弾力,だんりょく
弾劾,だんがい
徐々,じょじょ
従来,じゅうらい
循環,じゅんかん
忠実,ちゅうじつ
急増,きゅうぞう
性病,せいびょう
怪獣,かいじゅう
恐竜,きょうりゅう
恒常,こうじょう
情報,じょうほう
情熱,じょうねつ
惨敗,ざんぱい
惨状,さんじょう
愛情,あいじょう
感情,かんじょう
憤り,いきどおり
懲罰,ちょうばつ
成熟,せいじゅく
戦場,せんじょう
承る,うけたまわる
承諾,しょうだく
技術,ぎじゅつ
抽出,ちゅうしゅつ
抽象,ちゅうしょう
拳銃,けんじゅう
描写,びょうしゃ
描画,びょうが
搭乗,とうじょう
教授,きょうじゅ
文学,ぶんがく
文法,ぶんぽう
文章,ぶんしょう
斎場,さいじょう
新宿,しんじゅく
日常,にちじょう
昇給,しょうきゅう
晩酌,ばんしゃく
暖房,だんぼう
暴力,ぼうりょく
月額,げつがく
材料,ざいりょう
条件,じょうけん
条約,じょうやく
柔軟,じゅうなん
桑畑,くわばたけ
植樹,しょくじゅ
植物,しょくぶつ
次々,つぎつぎ
正直,しょうじき
残品,ざんぴん
残額,ざんがく
段々,だんだん
殿堂,でんどう
求人,きゅうじん
求職,きゅうしょく
没収,ぼっしゅう
泥棒,どろぼう
注釈,ちゅうしゃく
洗浄,せんじょう
浄土,じょうど
浄水,じょうすい
淀川,よどがわ
淑女,しゅくじょ
清浄,せいじょう
渋々,しぶしぶ
渋滞,じゅうたい
減俸,げんぽう
減法,げんぽう
減給,げんきゅう
準備,じゅんび
滞る,とどこおる
漂流,ひょうりゅう
漂着,ひょうちゃく
漠然,ばくぜん
潔い,いさぎよい
潮流,ちょうりゅう
濁流,だくりゅう
焼酎,しょうちゅう
熟語,じゅくご
爆弾,ばくだん
爆撃,ばくげき
爆笑,ばくしょう
牛肉,ぎゅうにく
物語,ものがたり
状態,じょうたい
狩人,かりゅうど
独唱,どくしょう
独学,どくがく
獣類,じゅうるい
現在,げんざい
現実,げんじつ
現象,げんしょう
瓶詰,びんづめ
甚大,じんだい
生卵,なまたまご
生涯,しょうがい
産業,さんぎょう
留学,りゅうがく
番号,ばんごう
番組,ばんぐみ
疫病,えきびょう
病人,びょうにん
病棟,びょうとう
病院,びょういん
発表,はっぴょう
省略,しょうりゃく
眺望,ちょうぼう
眼球,がんきゅう
着々,ちゃくちゃく
短銃,たんじゅう
祝日,しゅくじつ
神社,じんじゃ
禅宗,ぜんしゅう
禅寺,ぜんでら
福袋,ふくぶくろ
秒針,びょうしん
究極,きゅうきょく
窓口,まどぐち
窮乏,きゅうぼう
粉状,ふんじょう
粘々,ねばねば
糾弾,きゅうだん
純毛,じゅんもう
純粋,じゅんすい
紡織,ぼうしょく
紫色,むらさきいろ
終了,しゅうりょう
終電,しゅうでん
給料,きゅうりょう
絶叫,ぜっきょう
絶望,ぜつぼう
続々,ぞくぞく
緑色,みどりいろ
縄文,じょうもん
縮小,しゅくしょう
繁昌,はんじょう
美術,びじゅつ
群集,ぐんしゅう
義塾,ぎじゅく
翻る,ひるがえる
聴力,ちょうりょく
肖像,しょうぞう
肺病,はいびょう
脱獄,だつごく
脱税,だつぜい
膨大,ぼうだい
膨張,ぼうちょう
自浄,じじょう
薄弱,はくじゃく
薄情,はくじょう
虐待,ぎゃくたい
虐殺,ぎゃくさつ
虚弱,きょじゃく
蝶々,ちょうちょう
衝撃,しょうげき
表彰,ひょうしょう
表現,ひょうげん
襲撃,しゅうげき
覆る,くつがえる
触媒,しょくばい
証言,しょうげん
評判,ひょうばん
誕生,たんじょう
謎々,なぞなぞ
象徴,しょうちょう
財閥,ざいばつ
貧乏,びんぼう
賠償,ばいしょう
軍人,ぐんじん
農場,のうじょう
農業,のうぎょう
逆説,ぎゃくせつ
醜聞,しゅうぶん
醸成,じょうせい
里心,さとごころ
重要,じゅうよう
重鎮,じゅうちん
鉱業,こうぎょう
銃殺,じゅうさつ
銅像,どうぞう
銅山,どうざん
鋳造,ちゅうぞう
錦鯉,にしきごい
長寿,ちょうじゅ
長袖,ながそで
長靴,ながぐつ
開業,かいぎょう
除外,じょがい
陳情,ちんじょう
陳述,ちんじゅつ
随分,ずいぶん
障害,しょうがい
集中,しゅうちゅう
集団,しゅうだん
電力,でんりょく
電柱,でんちゅう
電源,でんげん
電飾,でんしょく
静々,しずしず
静寂,せいじゃく
頂戴,ちょうだい
領袖,りょうしゅう
願望,がんぼう
食堂,しょくどう
食糧,しょくりょう
駐在,ちゅうざい
上唇,うわくちびる
上級,じょうきゅう
下唇,したくちびる
中旬,ちゅうじゅん
充実,じゅうじつ
充電,じゅうでん
入場,にゅうじょう
冗談,じょうだん
劇場,げきじょう
十台,じゅうだい
十月,じゅうがつ
叙情,じょじょう
叙述,じょじゅつ
台所,だいどころ
就業,しゅうぎょう
左側,ひだりがわ
左腕,ひだりうで
授業,じゅぎょう
昔話,むかしばなし
暴虐,ぼうぎゃく
東側,ひがしがわ
東口,ひがしぐち
柔道,じゅうどう
殉職,じゅんしょく
残業,ざんぎょう
残虐,ざんぎゃく
漁業,ぎょぎょう
牛丼,ぎゅうどん
牛乳,ぎゅうにゅう
牧場,ぼくじょう
状況,じょうきょう
病床,びょうしょう
症状,しょうじょう
窮状,きゅうじょう
職業,しょくぎょう
膝頭,ひざがしら
芸術,げいじゅつ
表情,ひょうじょう
逆襲,ぎゃくしゅう
醸造,じょうぞう
銃弾,じゅうだん
錠剤,じょうざい
順序,じゅんじょ
順番,じゅんばん
頑丈,がんじょう
麦畑,むぎばたけ
上旬,じょうじゅん
上述,じょうじゅつ
従業,じゅうぎょう
従順,じゅうじゅん
塊魂,かたまりだましい
お菓子,おかし
お風呂,おふろ
乗せる,のせる
二十日,はつか
二十歳,はたち
付ける,つける
代える,かえる
代わり,かわり
代わる,かわる
伏せる,ふせる
似合う,にあう
借りる,かりる
借り手,かりて
先ず,まず
入り江,いりえ
入れる,いれる
兼ねる,かねる
冷える,ひえる
冷やす,ひやす
分かる,わかる
分ける,わける
切れる,きれる
割れる,われる
占める,しめる
取れる,とれる
受ける,うける
吐き気,はきけ
向ける,むける
向こう,むこう
呼ぶ,よぶ
垂らす,たらす
