Term,Values
乾季,かんき
予告,よこく
予報,よほう
予定,よてい
予想,よそう
予測,よそく
予約,よやく
事故,じこ
二つ,ふたつ
二万,にまん
二世,にせい
二人,ふたり
二巻,にかん
二斤,にきん
二日,ふつか
二杯,にはい
二泊,にはく
二階,にかい
五つ,いつつ
五日,いつか
井戸,いど
人気,にんき
今夜,こんや
今年,ことし
今日,きょう
仕方,しかた
他人,たにん
他所,たしょ
付近,ふきん
以後,いご
以降,いこう
仮に,かりに
仮定,かてい
仮説,かせつ
仮面,かめん
仲間,なかま
任務,にんむ
任意,にんい
企画,きかく
伊達,だて
休み,やすみ
休む,やすむ
会話,かいわ
伯母,おば
伯父,おじ
低い,ひくい
何故,なぜ
余る,あまる
余裕,よゆう
余計,よけい
余震,よしん
作る,つくる
作家,さっか
作用,さよう
佳作,かさく
使う,つかう
使用,しよう
依頼,いらい
価格,かかく
侵す,おかす
保つ,たもつ
保持,ほじ
保険,ほけん
信徒,しんと
俳句,はいく
俺ら,おれら
倉庫,そうこ
個室,こしつ
倒す,たおす
倫理,りんり
偉い,えらい
停止,ていし
偶に,たまに
傷む,いたむ
兄貴,あにき
光る,ひかる
光輝,こうき
入る,はいる
八つ,やっつ
八日,ようか
六つ,むっつ
六日,むいか
兵器,へいき
兵士,へいし
円い,まるい
円弧,えんこ
写す,うつす
写る,うつる
凍る,こおる
凍死,とうし
処理,しょり
処置,しょち
凹む,へこむ
出す,だす
出る,でる
刃先,はさき
刃物,はもの
切手,きって
刑期,けいき
初歩,しょほ
判子,はんこ
利息,りそく
利益,りえき
制覇,せいは
刺身,さしみ
副詞,ふくし
力士,りきし
劣る,おとる
劣化,れっか
効果,こうか
勇む,いさむ
勇気,ゆうき
勝手,かって
募る,つのる
勤め,つとめ
匂い,におい
匂う,におう
包み,つつみ
包む,つつむ
包囲,ほうい
化繊,かせん
北緯,ほくい
区域,くいき
医者,いしゃ
十日,とおか
千葉,ちば
升目,ますめ
半裸,はんら
卑劣,ひれつ
卑屈,ひくつ
南緯,なんい
単に,たんに
危篤,きとく
危険,きけん
即死,そくし
卸す,おろす
厚い,あつい
参る,まいる
参加,さんか
叔母,おば
叔父,おじ
古い,ふるい
古墳,こふん
古来,こらい
叩く,たたく
可也,かなり
可能,かのう
台詞,せりふ
叱る,しかる
右翼,うよく
各地,かくち
名刺,めいし
名前,なまえ
名詞,めいし
名誉,めいよ
否定,ひてい
否決,ひけつ
含む,ふくむ
呆け,ぼけ
呆気,あっけ
告訴,こくそ
周り,まわり
呪い,のろい
呪う,のろう
味方,みかた
和室,わしつ
和服,わふく
和訳,わやく
和風,わふう
哀れ,あわれ
品詞,ひんし
哺育,ほいく
唄う,うたう
唯一,ゆいつ
喚く,わめく
喚起,かんき
喪服,もふく
器用,きよう
噴火,ふんか
四つ,よっつ
四国,しこく
四日,よっか
四角,しかく
四隅,よすみ
回す,まわす
回る,まわる
回忌,かいき
団扇,うちわ
困る,こまる
囲む,かこむ
囲碁,いご
固い,かたい
国旗,こっき
地図,ちず
地域,ちいき
地帯,ちたい
地殻,ちかく
垣根,かきね
基本,きほん
堅い,かたい
塗装,とそう
墓地,ぼち
墓碑,ぼひ
墨絵,すみえ
壊す,こわす
変化,へんか
変死,へんし
夏至,げし
多い,おおい
大人,おとな
大佐,たいさ
大尉,たいい
大気,たいき
大麻,たいま
天使,てんし
天気,てんき
太い,ふとい
太る,ふとる
太鼓,たいこ
夫妻,ふさい
夫婦,ふうふ
奇数,きすう
奇跡,きせき
奉仕,ほうし
契機,けいき
奮起,ふんき
奴ら,やつら
好む,このむ
妻子,さいし
姉妹,しまい
委員,いいん
委託,いたく
姿勢,しせい
嫌い,きらい
嫌味,いやみ
嫌悪,けんお
子孫,しそん
子牛,こうし
子犬,こいぬ
子猫,こねこ
季節,きせつ
孤児,こじ
孤島,ことう
孤立,こりつ
守る,まもる
安い,やすい
安値,やすね
家事,かじ
家具,かぐ
家庭,かてい
家畜,かちく
家賃,やちん
容易,ようい
密か,ひそか
密輸,みつゆ
富裕,ふゆう
寒い,さむい
察知,さっち
寡黙,かもく
寧ろ,むしろ
審査,しんさ
寸暇,すんか
対比,たいひ
封鎖,ふうさ
少し,すこし
尼僧,にそう
屋敷,やしき
岐阜,ぎふ
左右,さゆう
左翼,さよく
左遷,させん
巧い,うまい
市営,しえい
市立,しりつ
布団,ふとん
布巾,ふきん
帰る,かえる
常に,つねに
平ら,たいら
平和,へいわ
平気,へいき
幼稚,ようち
幾つ,いくつ
幾ら,いくら
広い,ひろい
座る,すわる
庶務,しょむ
廃棄,はいき
廃止,はいし
廉価,れんか
廊下,ろうか
弓矢,ゆみや
弥生,やよい
弱い,よわい
強い,つよい
役目,やくめ
